,sentiment,text,polarity,std
177,positive,convencido,0.25,0.177
178,positive,dar confianza,0.5,0.0
179,positive,dar ánimos,0.75,0.289
180,positive,desahogado,0.375,0.0
181,positive,devoto,0.5,0.265
182,positive,embebecimiento,0.5,0.0
183,positive,embeleso,0.375,0.072
184,positive,embriagar,0.5,0.619
185,positive,encandilamiento,0.313,0.088
186,positive,esperanzador,1.0,0.0
187,positive,estimulador,0.75,0.0
188,positive,exuberancia,0.625,0.354
189,positive,exultación,0.375,0.0
190,positive,fervoroso,0.75,0.0
191,positive,fraternal,0.375,0.0
192,positive,fraterno,0.375,0.0
193,positive,fácil,0.25,0.0
194,positive,fácilmente,0.25,0.0
195,positive,gratificar,0.417,0.505
196,positive,gratitud,0.417,0.375
197,positive,habilidoso,0.875,0.177
198,positive,hilarante,0.625,0.0
199,positive,hilaridad,0.375,0.0
200,positive,jocundidad,0.5,0.0
201,positive,jovialidad,0.583,0.25
202,positive,lealtad,0.313,0.088
203,positive,motivar,0.25,0.088
204,positive,optimístico,0.875,0.0
205,positive,placidez,0.25,0.088
206,positive,predilección,0.375,0.0
207,positive,regocijador,0.625,0.0
208,positive,risueño,0.833,0.144
209,positive,saciable,0.625,0.0
210,positive,satisfacible,0.625,0.0
211,positive,satisfecho de sí mismo,0.875,0.0
212,positive,suertudo,0.75,0.0
213,positive,tranquilizado,0.5,0.0
214,positive,tranquilizador,0.313,0.088
215,positive,triunfo,0.25,0.0
216,positive,triunfal,0.375,0.354
217,positive,triunfante,0.563,0.0
218,positive,ufano,0.438,0.265
219,positive,venturoso,0.875,0.0
220,positive,victorioso,0.583,0.072
221,positive,vigorizador,0.625,0.177
222,positive,vitorear,0.375,0.0
223,positive,acaudalar,1.0,0.0
224,positive,acogedor,0.775,0.112
225,positive,afable,1.0,0.0
226,positive,afortunadamente,0.875,0.0
227,positive,alabar,1.0,0.0
228,positive,amenidad,1.0,0.0
229,positive,apreciado,0.875,0.125
230,positive,armonioso,0.792,0.144
231,positive,bendito,0.792,0.191
232,positive,bien parecido,0.875,0.0
233,positive,bonachón,1.0,0.0
234,positive,buen carácter,1.0,0.0
235,positive,buen estado físico,0.875,0.0
236,positive,buen tipo,0.875,0.0
237,positive,buena forma,0.875,0.0
238,positive,buena forma física,0.875,0.0
239,positive,citable,0.813,0.265
240,positive,clamoroso,1.0,0.0
241,positive,clavado,0.875,0.0
242,positive,conmovido,0.875,0.0
243,positive,cooperativo,0.875,0.0
244,positive,célebre,1.0,0.0
245,positive,dar aliento,1.0,0.0
246,positive,deleitoso,0.875,0.0
247,positive,destacable,1.0,0.0
248,positive,dotado,0.875,0.0
249,positive,en forma,0.875,0.0
250,positive,encomiable,1.0,0.0
251,positive,esplendoroso,1.0,0.0
252,positive,espléndido,0.771,0.205
253,positive,exculpar,0.875,0.0
254,positive,famoso,1.0,0.0
255,positive,favorecedor,0.875,0.0
256,positive,filántropo,1.0,0.0
257,positive,finísimo,0.875,0.0
258,positive,glorioso,0.833,0.191
259,positive,harmonioso,0.875,0.0
260,positive,hermoso,0.792,0.172
261,positive,heroicidad,1.0,0.0
262,positive,heroísmo,1.0,0.0
263,positive,honorabilidad,0.813,0.265
264,positive,honorado,0.875,0.0
265,positive,idealizado,0.875,0.0
266,positive,juicioso,0.833,0.217
267,positive,laudable,1.0,0.0
268,positive,lindo,0.875,0.177
269,positive,loable,1.0,0.0
270,positive,magistral,0.813,0.265
271,positive,manitas,0.875,0.0
272,positive,medrar,0.813,0.265
273,positive,merecedor,0.813,0.265
274,positive,meritorio,0.833,0.191
275,positive,modoso,0.875,0.0
276,positive,modélico,0.875,0.0
277,positive,notable,0.775,0.137
278,positive,pacífico,0.781,0.063
279,positive,perfectamente,0.875,0.0
280,positive,preferente,0.875,0.0
281,positive,presentable,0.875,0.0
282,positive,prosperar,0.813,0.265
283,positive,prosperidad,1.0,0.0
284,positive,punto fuerte,0.875,0.0
285,positive,querúbico,1.0,0.0
286,positive,respetabilidad,0.875,0.0
287,positive,respetado,0.875,0.0
288,positive,respetar,0.875,0.0
289,positive,rubicundo,0.813,0.088
290,positive,salvamento,1.0,0.0
291,positive,talentoso,0.875,0.0
292,positive,ventajoso,1.0,0.0
293,positive,óptimo,1.0,0.0
294,positive,abordable,0.75,0.0
295,positive,adecuada,0.75,0.0
296,positive,adoptable,0.75,0.0
297,positive,afirmativo,0.75,0.177
298,positive,alcista,0.75,0.0
299,positive,ameno,0.75,0.0
300,positive,apegado,0.75,0.0
301,positive,arrojado,0.75,0.0
302,positive,beato,0.75,0.0
303,positive,bendecido,0.75,0.0
304,positive,beneficiarse,0.75,0.0
305,positive,bien hecho,0.75,0.0
306,positive,bienaventuranza,0.75,0.0
307,positive,bienvenido,0.75,0.0
308,positive,bizarro,0.75,0.0
309,positive,buena disposición,0.75,0.0
310,positive,canjeable,0.75,0.0
311,positive,carismático,0.75,0.0
312,positive,chistoso,0.75,0.125
313,positive,cognoscible,0.75,0.0
314,positive,confidente,0.75,0.0
315,positive,confirmador,0.75,0.0
316,positive,confirmante,0.75,0.0
317,positive,congruencia,0.75,0.0
318,positive,conocible,0.75,0.0
319,positive,constructivo,0.75,0.0
320,positive,corroborante,0.75,0.0
321,positive,curativo,0.75,0.0
322,positive,dar permiso,0.75,0.0
323,positive,dar ventaja,0.75,0.0
324,positive,deseable,0.75,0.0
325,positive,dicha,0.75,0.0
326,positive,elegible,0.75,0.0
327,positive,enmendable,0.75,0.0
328,positive,entrañable,0.75,0.0
329,positive,escalable,0.75,0.0
330,positive,estandarizado,0.75,0.0
331,positive,estimado,0.75,0.25
332,positive,exhuberancia,0.75,0.0
333,positive,exitoso,0.75,0.0
334,positive,experimentado,0.75,0.0
335,positive,fastuoso,0.75,0.354
336,positive,fehaciente,0.75,0.0
337,positive,fidedigno,0.75,0.0
338,positive,fotogénico,0.75,0.0
339,positive,garboso,0.75,0.265
340,positive,grato,0.75,0.143
341,positive,guapo,0.75,0.088
342,positive,halagüeño,0.75,0.0
343,positive,harmonizado,0.75,0.0
344,positive,hedonístico,0.75,0.0
345,positive,hedónico,0.75,0.0
346,positive,honor,0.75,0.25
347,positive,honorablemente,0.75,0.0
348,positive,honorífico,0.75,0.0
349,positive,hospitalario,0.75,0.0
350,positive,idoneidad,0.75,0.0
351,positive,la verdad,0.75,0.0
352,positive,laudatorio,0.75,0.0
353,positive,mejoría,0.75,0.354
354,positive,obtener frutos,0.75,0.0
355,positive,panegírico,0.75,0.0
356,positive,perito,0.75,0.0
357,positive,plasticidad,0.75,0.0
358,positive,polifacético,0.75,0.0
359,positive,pujante,0.75,0.0
360,positive,realzado,0.75,0.0
361,positive,reconstructor,0.75,0.0
362,positive,reformable,0.75,0.0
363,positive,remediador,0.75,0.0
364,positive,reír,0.75,0.0
365,positive,sacar provecho,0.75,0.0
366,positive,sacar ventaja,0.75,0.0
367,positive,saciado,0.75,0.0
368,positive,salubre,0.75,0.088
369,positive,sanador,0.75,0.0
370,positive,sublime,0.75,0.0
371,positive,valedero,0.75,0.0
372,positive,verificador,0.75,0.0
373,positive,veterano,0.75,0.0
374,positive,virtuosillo,0.75,0.0
375,positive,virtuoso,0.75,0.0
376,positive,voluntariamente,0.75,0.0
377,positive,abundante,0.589,0.094
378,positive,accesible,0.607,0.125
379,positive,aceptabilidad,0.688,0.088
380,positive,aceptable,0.688,0.112
381,positive,acomodado,0.563,0.088
382,positive,acompasado,0.625,0.0
383,positive,aconsejable,0.625,0.0
384,positive,acreditado,0.667,0.315
385,positive,adecuado,0.656,0.149
386,positive,administrable,0.625,0.0
387,positive,admirabilidad,0.625,0.0
388,positive,admirablemente,0.625,0.0
389,positive,admisible,0.625,0.0
390,positive,adornado,0.625,0.0
391,positive,afabilidad,0.583,0.26
392,positive,afectuosamente,0.625,0.0
393,positive,agrado,0.625,0.442
394,positive,alimenticio,0.625,0.0
395,positive,amabilidad,0.547,0.265
396,positive,angelical,0.583,0.545
397,positive,anglofilia,0.625,0.0
398,positive,antihelmíntico,0.625,0.0
399,positive,antimicrobiano,0.625,0.0
400,positive,apaciguable,0.625,0.0
401,positive,aplaudir,0.625,0.177
402,positive,apropiado,0.656,0.112
403,positive,aptitud,0.542,0.144
404,positive,apto,0.557,0.247
405,positive,apuesto,0.688,0.265
406,positive,asíduo,0.625,0.0
407,positive,atractividad,0.625,0.0
408,positive,atrayente,0.583,0.19
409,positive,autodidacta,0.625,0.0
410,positive,autoimpuesto,0.625,0.0
411,positive,auxiliar,0.542,0.217
412,positive,axénico,0.625,0.0
413,positive,bellaco,0.625,0.0
414,positive,bello,0.708,0.217
415,positive,bienaventurado,0.625,0.354
416,positive,brillantez,0.594,0.4
417,positive,bruñido,0.625,0.0
418,positive,buena persona,0.625,0.0
419,positive,buena salud,0.625,0.0
420,positive,caballero,0.625,0.0
421,positive,caballeroso,0.625,0.088
422,positive,cachondo,0.625,0.0
423,positive,calidad superior,0.625,0.0
424,positive,campeón,0.625,0.0
425,positive,capaz,0.634,0.258
426,positive,carácter agradable,0.625,0.0
427,positive,casto,0.563,0.0
428,positive,catártico,0.688,0.177
429,positive,cauteloso,0.521,0.094
430,positive,cauto,0.531,0.102
431,positive,celebrado,0.625,0.0
432,positive,certificativo,0.625,0.0
433,positive,certificatorio,0.625,0.0
434,positive,chachi,0.688,0.442
435,positive,chic,0.625,0.0
436,positive,chusco,0.625,0.0
437,positive,circunspecto,0.625,0.0
438,positive,comedido,0.563,0.177
439,positive,comestible,0.625,0.0
440,positive,compatible,0.531,0.188
441,positive,con admiracion,0.625,0.0
442,positive,con tratamiento,0.625,0.0
443,positive,conceptivo,0.625,0.0
444,positive,conciliación,0.708,0.072
445,positive,conciliado,0.625,0.0
446,positive,confortable,0.625,0.0
447,positive,congraciador,0.563,0.088
448,positive,congruente,0.625,0.315
449,positive,consagrado,0.688,0.125
450,positive,consensuado,0.625,0.0
451,positive,controlable,0.625,0.0
452,positive,convalidar,0.625,0.0
453,positive,conveniente,0.659,0.129
454,positive,copioso,0.583,0.072
455,positive,cordial,0.646,0.171
456,positive,cordura,0.625,0.0
457,positive,correctivo,0.563,0.0
458,positive,corregible,0.625,0.12
459,positive,creatividad,0.625,0.0
460,positive,creativo,0.625,0.0
461,positive,cualificado,0.667,0.26
462,positive,culto,0.525,0.056
463,positive,cumplir lo prometido,0.625,0.0
464,positive,curativa,0.625,0.0
465,positive,célibe,0.625,0.0
466,positive,de confianza,0.625,0.0
467,positive,decencia,0.542,0.26
468,positive,decible,0.625,0.0
469,positive,decorado,0.625,0.0
470,positive,decoro,0.625,0.217
471,positive,decoroso,0.708,0.125
472,positive,deducible,0.625,0.0
473,positive,deferente,0.625,0.0
474,positive,demostrativo,0.625,0.177
475,positive,describible,0.625,0.0
476,positive,descriptible,0.625,0.0
477,positive,desenganchado,0.625,0.0
478,positive,desenterrado,0.625,0.0
479,positive,destreza,0.525,0.271
480,positive,detallado,0.563,0.088
481,positive,detenido,0.625,0.0
482,positive,digno,0.667,0.194
483,positive,disociar,0.625,0.0
484,positive,dispuesto,0.563,0.088
485,positive,distinguido,0.55,0.125
486,positive,divertidísimo,0.625,0.0
487,positive,docto,0.563,0.088
488,positive,domesticable,0.625,0.0
489,positive,edificante,0.625,0.0
490,positive,educable,0.625,0.0
491,positive,educado,0.609,0.149
492,positive,educativo,0.563,0.088
493,positive,efectividad,0.563,0.088
494,positive,eficaz,0.583,0.0
495,positive,eficiencia,0.625,0.0
496,positive,elástico,0.6,0.224
497,positive,embelesado,0.563,0.088
498,positive,enardecedor,0.563,0.177
499,positive,enciclopédico,0.625,0.0
500,positive,entregado,0.625,0.0
501,positive,entretenido,0.667,0.072
502,positive,entretenimiento,0.531,0.237
503,positive,equitativo,0.625,0.0
504,positive,erudito,0.542,0.072
505,positive,especializado,0.708,0.191
506,positive,especificable,0.625,0.0
507,positive,espíritu bueno,0.625,0.0
508,positive,estimable,0.563,0.53
509,positive,eudemónico,0.625,0.0
510,positive,exacto,0.625,0.234
511,positive,expansivo,0.6,0.137
512,positive,explicable,0.625,0.0
513,positive,explícit,0.625,0.0
514,positive,expresable,0.625,0.0
515,positive,factible,0.625,0.0
516,positive,fecundo,0.563,0.0
517,positive,fenomenal,0.563,0.493
518,positive,fiel,0.7,0.156
519,positive,flamante,0.625,0.442
520,positive,fogosidad,0.563,0.088
521,positive,formalizado,0.625,0.0
522,positive,formativo,0.625,0.0
523,positive,formidable,0.542,0.331
524,positive,fortalecido,0.625,0.0
525,positive,frutal,0.625,0.0
526,positive,fulgor,0.625,0.0
527,positive,fértil,0.563,0.063
528,positive,galante,0.625,0.0
529,positive,galantear,0.625,0.0
530,positive,gallardo,0.688,0.239
531,positive,ganador,0.625,0.0
532,positive,generosa,0.625,0.0
533,positive,generosamente,0.625,0.0
534,positive,genial,0.661,0.361
535,positive,guay,0.542,0.361
536,positive,habilitante,0.625,0.0
537,positive,habitable,0.625,0.0
538,positive,halagador,0.688,0.088
539,positive,harmonizable,0.625,0.0
540,positive,harmónico,0.625,0.177
541,positive,helmíntico,0.625,0.0
542,positive,hospitalidad,0.563,0.088
543,positive,identificable,0.625,0.0
544,positive,idílico,0.688,0.0
545,positive,igualado,0.625,0.0
546,positive,iluminarse,0.625,0.0
547,positive,ilustrado,0.542,0.072
548,positive,ilustre,0.708,0.125
549,positive,imaginativo,0.625,0.0
550,positive,imponente,0.667,0.072
551,positive,incontaminado,0.625,0.0
552,positive,indicado,0.679,0.139
553,positive,inferible,0.625,0.0
554,positive,informado,0.594,0.12
555,positive,ingenioso,0.531,0.063
556,positive,instruido,0.542,0.072
557,positive,intelectual,0.594,0.277
558,positive,inteligente,0.604,0.146
559,positive,interesante,0.563,0.088
560,positive,interesarse,0.563,0.442
561,positive,interpretable,0.625,0.0
562,positive,inventivo,0.625,0.0
563,positive,invicto,0.625,0.088
564,positive,iterativo,0.563,0.088
565,positive,juguetón,0.563,0.0
566,positive,justificable,0.625,0.0
567,positive,ladino,0.625,0.0
568,positive,leal,0.7,0.137
569,positive,letrado,0.563,0.088
570,positive,lisonjero,0.688,0.088
571,positive,lógico,0.625,0.177
572,positive,majestuoso,0.719,0.306
573,positive,manejable,0.625,0.125
574,positive,maravilloso,0.719,0.298
575,positive,medicinal,0.625,0.177
576,positive,mejor,0.625,0.191
577,positive,merecido,0.625,0.0
578,positive,mesurado,0.542,0.072
579,positive,miramiento,0.688,0.088
580,positive,mitigable,0.625,0.0
581,positive,moralizador,0.625,0.0
582,positive,máximo,0.625,0.0
583,positive,no alarmante,0.625,0.0
584,positive,noble,0.542,0.303
585,positive,nutritivo,0.688,0.088
586,positive,obediente,0.542,0.125
587,positive,observable,0.625,0.0
588,positive,observancia,0.625,0.0
589,positive,ocurrente,0.625,0.0
590,positive,operable,0.625,0.0
591,positive,oportuno,0.542,0.171
592,positive,opulento,0.625,0.0
593,positive,parasiticida,0.625,0.0
594,positive,pasable,0.542,0.25
595,positive,patente,0.542,0.125
596,positive,pausado,0.625,0.0
597,positive,perfectibilidad,0.625,0.0
598,positive,perfecto,0.625,0.143
599,positive,perseverante,0.563,0.088
600,positive,pertinente,0.563,0.177
601,positive,pinchable,0.625,0.0
602,positive,plenario,0.625,0.0
603,positive,pletórico,0.625,0.0
604,positive,popularidad,0.625,0.0
605,positive,practicable,0.625,0.0
606,positive,precaución,0.583,0.072
607,positive,precioso,0.675,0.163
608,positive,preciso,0.641,0.133
609,positive,precocinado,0.625,0.0
610,positive,preferible,0.625,0.0
611,positive,preparado,0.531,0.125
612,positive,preponderante,0.625,0.0
613,positive,presciente,0.625,0.0
614,positive,preservable,0.625,0.0
615,positive,prestigioso,0.688,0.177
616,positive,previsor,0.542,0.072
617,positive,privilegiado,0.688,0.265
618,positive,probado,0.542,0.072
619,positive,procedencia,0.688,0.354
620,positive,productivo,0.521,0.094
621,positive,productor,0.625,0.0
622,positive,profiláctico,0.542,0.0
623,positive,progresar,0.688,0.354
624,positive,prolífero,0.563,0.088
625,positive,prolífico,0.563,0.088
626,positive,promover,0.583,0.505
627,positive,propiciador,0.625,0.0
628,positive,propicio,0.563,0.213
629,positive,proteccionista,0.625,0.0
630,positive,prudente,0.578,0.16
631,positive,práctico,0.521,0.171
632,positive,próspero,0.7,0.137
633,positive,purificado,0.563,0.088
634,positive,querido,0.625,0.191
635,positive,racional,0.604,0.131
636,positive,razonable,0.625,0.237
637,positive,reciclable,0.625,0.0
638,positive,reconciliador,0.625,0.0
639,positive,reconstituyente,0.563,0.177
640,positive,recuperativo,0.625,0.0
641,positive,rehabilitador,0.688,0.088
642,positive,reiterativo,0.563,0.088
643,positive,remedio,0.625,0.0
644,positive,remirado,0.625,0.0
645,positive,rentable,0.625,0.0
646,positive,repetible,0.625,0.0
647,positive,respetuoso,0.625,0.125
648,positive,retozón,0.625,0.0
649,positive,retribuido,0.625,0.0
650,positive,reverendo,0.625,0.0
651,positive,reverente,0.688,0.177
652,positive,revivificar,0.688,0.442
653,positive,sabio,0.625,0.237
654,positive,sagaz,0.534,0.097
655,positive,salir adelante,0.625,0.0
656,positive,salvador,0.625,0.0
657,positive,santificado,0.625,0.0
658,positive,santo,0.625,0.265
659,positive,selecto,0.6,0.088
660,positive,semiconductor,0.625,0.0
661,positive,sensato,0.571,0.247
662,positive,sentido,0.625,0.0
663,positive,seriocómico,0.625,0.0
664,positive,servible,0.542,0.125
665,positive,servir para,0.625,0.0
666,positive,sexi,0.625,0.0
667,positive,sibarítico,0.625,0.0
668,positive,significante,0.542,0.191
669,positive,significativo,0.542,0.072
670,positive,simplificado,0.625,0.0
671,positive,sin enterrar,0.625,0.0
672,positive,sincero,0.7,0.185
673,positive,sobreabundante,0.625,0.0
674,positive,socarrón,0.625,0.0
675,positive,sociable,0.542,0.171
676,positive,soportador,0.625,0.0
677,positive,sostenible,0.563,0.177
678,positive,suficiente,0.563,0.088
679,positive,superabundante,0.625,0.0
680,positive,sustancioso,0.542,0.125
681,positive,súper,0.688,0.442
682,positive,tener éxito,0.625,0.0
683,positive,terapéutico,0.625,0.0
684,positive,testeado,0.625,0.0
685,positive,tibio,0.625,0.0
686,positive,tolerable,0.625,0.0
687,positive,torneado,0.688,0.088
688,positive,tratable,0.521,0.166
689,positive,triumfar,0.625,0.0
690,positive,valioso,0.688,0.177
691,positive,vencedor,0.625,0.0
692,positive,venerado,0.563,0.0
693,positive,veraz,0.563,0.177
694,positive,viable,0.563,0.088
695,positive,victoria,0.625,0.0
696,positive,vitalizante,0.625,0.0
697,positive,vivificante,0.625,0.0
698,positive,vocálico,0.625,0.0
699,positive,voluptuoso,0.583,0.125
700,positive,ético,0.625,0.0
701,positive,a buena fé,0.5,0.0
702,positive,absorto,0.5,0.088
703,positive,abundoso,0.5,0.0
704,positive,acaudalado,0.5,0.0
705,positive,acelerado,0.5,0.0
706,positive,aceptador,0.5,0.0
707,positive,acicalado,0.5,0.0
708,positive,aclamación,0.5,0.0
709,positive,acomodaticio,0.5,0.265
710,positive,aconsejado,0.5,0.0
711,positive,actualizado,0.5,0.0
712,positive,adaptado,0.5,0.0
713,positive,adecuación,0.5,0.144
714,positive,adinerado,0.5,0.0
715,positive,admisibilidad,0.5,0.177
716,positive,admisivo,0.5,0.0
717,positive,adorable,0.5,0.144
718,positive,adorado,0.5,0.088
719,positive,adrenocorticotrópico,0.5,0.0
720,positive,ahorrador,0.5,0.072
721,positive,ahorrativo,0.5,0.0
722,positive,airosidad,0.5,0.177
723,positive,ajustable,0.5,0.0
724,positive,al día,0.5,0.0
725,positive,alabanza,0.5,0.0
726,positive,alabar con exceso,0.5,0.0
727,positive,aligerar,0.5,0.707
728,positive,allegro con spirito,0.5,0.0
729,positive,alquilable,0.5,0.0
730,positive,altilocuente,0.5,0.0
731,positive,amado,0.5,0.088
732,positive,amalgamado,0.5,0.0
733,positive,ambidiestro,0.5,0.0
734,positive,ameliorar,0.5,0.0
735,positive,amentífero,0.5,0.0
736,positive,amovible,0.5,0.0
737,positive,anacorítico,0.5,0.0
738,positive,antimonopolio,0.5,0.0
739,positive,antiséptico,0.5,0.0
740,positive,apaciguador,0.5,0.0
741,positive,apareado,0.5,0.0
742,positive,apasionante,0.5,0.072
743,positive,aplanético,0.5,0.0
744,positive,aplicable,0.5,0.0
745,positive,aplicado,0.5,0.0
746,positive,apodíctico,0.5,0.0
747,positive,apoyado,0.5,0.0
748,positive,aprendido,0.5,0.0
749,positive,arable,0.5,0.0
750,positive,ascendible,0.5,0.0
751,positive,asociable,0.5,0.0
752,positive,aséptico,0.5,0.0
753,positive,autosuficiente,0.5,0.0
754,positive,averiguable,0.5,0.0
755,positive,aviejarse,0.5,0.0
756,positive,avivado,0.5,0.265
757,positive,azul marino,0.5,0.0
758,positive,bastante,0.5,0.0
759,positive,beatificado,0.5,0.088
760,positive,beatífico,0.5,0.0
761,positive,bebido,0.5,0.0
762,positive,bien definidos,0.5,0.0
763,positive,bien educado,0.5,0.0
764,positive,bienintencionado,0.5,0.144
765,positive,bordeado,0.5,0.0
766,positive,bromista,0.5,0.0
767,positive,buen gusto,0.5,0.0
768,positive,buen tiempo,0.5,0.0
769,positive,buenas condiciones,0.5,0.0
770,positive,cadencioso,0.5,0.0
771,positive,cadente,0.5,0.0
772,positive,cantable,0.5,0.0
773,positive,característico,0.5,0.0
774,positive,caritativo,0.5,0.265
775,positive,casadero,0.5,0.0
776,positive,centralizador,0.5,0.0
777,positive,civilidad,0.5,0.177
778,positive,colmado,0.5,0.177
779,positive,combustible,0.5,0.0
780,positive,comedia,0.5,0.0
781,positive,compatiblemente,0.5,0.0
